id,created_at,pm25_ugm3,pm10_ugm3,co_ugm3,no2_ugm3,o3_ugm3,temperature,humidity,segmen,lokasi,label_bp
2,2026-06-09 23:39:21.128053+00:00,28.11,30.01,1544.66,0,19.63,30.7,89.8,1,Ngagel (Pagi - Urban Traffic),Sedang
3,2026-06-09 23:40:22.227849+00:00,29.87,31.87,1371.22,0,19.63,30.9,88.8,1,Ngagel (Pagi - Urban Traffic),Sedang
4,2026-06-10 01:05:54.483961+00:00,25.11,31.41,1690.72,0,19.63,30.5,72.9,1,Ngagel (Pagi - Urban Traffic),Sedang
5,2026-06-10 01:06:54.030364+00:00,28.64,32.57,1606.4,0,19.63,30.6,72.3,1,Ngagel (Pagi - Urban Traffic),Sedang
6,2026-06-10 01:07:55.837918+00:00,26.17,33.5,1608.44,0,19.63,30.9,71.8,1,Ngagel (Pagi - Urban Traffic),Sedang
7,2026-06-10 01:08:57.217019+00:00,26.17,42.32,1489.56,0,19.63,31.1,70.2,1,Ngagel (Pagi - Urban Traffic),Sedang
8,2026-06-10 01:09:58.537479+00:00,35.33,36.52,1508.28,0,19.63,31.4,69.3,1,Ngagel (Pagi - Urban Traffic),Sedang
9,2026-06-10 01:10:59.560795+00:00,30.22,36.52,1465.65,0,19.63,31.7,66.7,1,Ngagel (Pagi - Urban Traffic),Sedang
10,2026-06-10 01:12:00.817427+00:00,26.87,30.94,1299.66,0,19.63,32.0,65.6,1,Ngagel (Pagi - Urban Traffic),Sedang
11,2026-06-10 01:13:01.885353+00:00,24.93,30.71,1376.27,0,19.63,32.3,63.7,1,Ngagel (Pagi - Urban Traffic),Sedang
12,2026-06-10 01:14:03.474985+00:00,31.1,33.03,1199.01,0,19.63,32.5,63.2,1,Ngagel (Pagi - Urban Traffic),Sedang
13,2026-06-10 01:15:04.961537+00:00,24.93,30.94,1293.38,0,19.63,32.8,62.3,1,Ngagel (Pagi - Urban Traffic),Sedang
14,2026-06-10 01:16:06.502611+00:00,25.11,29.55,1268.61,0,19.63,33.1,62.9,1,Ngagel (Pagi - Urban Traffic),Sedang
15,2026-06-10 01:17:07.399217+00:00,24.23,30.71,1248.9,0,19.63,33.3,62.2,1,Ngagel (Pagi - Urban Traffic),Sedang
16,2026-06-10 01:18:08.472515+00:00,24.23,28.15,1213.44,0,19.63,33.6,61.1,1,Ngagel (Pagi - Urban Traffic),Sedang
17,2026-06-10 01:19:09.375423+00:00,25.82,31.41,1244.4,0,19.63,33.8,60.6,1,Ngagel (Pagi - Urban Traffic),Sedang
18,2026-06-10 01:20:10.693068+00:00,24.76,29.78,1250.4,0,19.63,34.0,59.7,1,Ngagel (Pagi - Urban Traffic),Sedang
19,2026-06-10 01:21:11.608190+00:00,28.28,32.8,1162.42,0,19.63,34.1,59.1,1,Ngagel (Pagi - Urban Traffic),Sedang
20,2026-06-10 01:22:12.953912+00:00,27.23,30.71,1121.78,0,19.63,34.3,58.6,1,Ngagel (Pagi - Urban Traffic),Sedang
21,2026-06-10 01:23:14.162689+00:00,24.76,36.28,1216.35,0,19.63,34.4,57.3,1,Ngagel (Pagi - Urban Traffic),Sedang
22,2026-06-10 01:24:15.072069+00:00,24.41,30.48,1174.93,0,19.63,34.5,56.7,1,Ngagel (Pagi - Urban Traffic),Sedang
23,2026-06-10 01:25:16.194762+00:00,25.82,30.48,1089.14,0,19.63,34.6,56.8,1,Ngagel (Pagi - Urban Traffic),Sedang
24,2026-06-10 01:26:17.717947+00:00,25.64,34.19,1089.14,0,19.63,34.8,56.6,1,Ngagel (Pagi - Urban Traffic),Sedang
25,2026-06-10 01:27:18.782500+00:00,26.17,23.97,1113.84,0,19.63,34.9,56.5,1,Ngagel (Pagi - Urban Traffic),Sedang
26,2026-06-10 01:28:19.964510+00:00,27.93,31.64,1156.9,0,19.63,34.8,56.9,1,Ngagel (Pagi - Urban Traffic),Sedang
27,2026-06-10 01:29:21.085184+00:00,28.46,34.89,1173.54,0,19.63,34.8,56.7,1,Ngagel (Pagi - Urban Traffic),Sedang
28,2026-06-10 01:30:22.433512+00:00,26.34,34.66,1095.58,0,19.63,35.0,57.5,1,Ngagel (Pagi - Urban Traffic),Sedang
29,2026-06-10 01:31:23.792017+00:00,27.93,34.19,1220.73,0,19.63,34.7,56.7,1,Ngagel (Pagi - Urban Traffic),Sedang
30,2026-06-10 01:32:24.840630+00:00,32.16,37.91,1086.58,0,19.63,34.7,56.4,1,Ngagel (Pagi - Urban Traffic),Sedang
31,2026-06-10 01:33:26.142658+00:00,35.86,51.85,1089.14,0,19.63,34.8,55.9,1,Ngagel (Pagi - Urban Traffic),Sedang
32,2026-06-10 01:34:27.522133+00:00,30.93,34.19,1193.29,0,19.63,35.0,56.6,1,Ngagel (Pagi - Urban Traffic),Sedang
33,2026-06-10 01:35:28.874557+00:00,32.16,42.79,1204.76,0,19.63,34.7,55.2,1,Ngagel (Pagi - Urban Traffic),Sedang
34,2026-06-10 01:36:30.006624+00:00,38.68,36.75,1119.13,0,19.63,34.7,55.0,1,Ngagel (Pagi - Urban Traffic),Sedang
35,2026-06-10 01:37:30.891733+00:00,29.69,39.3,1170.74,0,19.63,34.9,55.0,1,Ngagel (Pagi - Urban Traffic),Sedang
36,2026-06-10 01:38:32.143359+00:00,28.81,33.96,1162.42,0,19.63,35.0,55.5,1,Ngagel (Pagi - Urban Traffic),Sedang
37,2026-06-10 01:39:33.023464+00:00,31.46,32.33,1174.93,0,19.63,34.8,55.0,1,Ngagel (Pagi - Urban Traffic),Sedang
38,2026-06-10 01:40:34.196817+00:00,30.4,32.1,1213.44,0,19.63,34.9,54.3,1,Ngagel (Pagi - Urban Traffic),Sedang
39,2026-06-10 01:41:35.420555+00:00,25.82,34.19,1260.99,0,19.63,35.0,54.8,1,Ngagel (Pagi - Urban Traffic),Sedang
40,2026-06-10 01:42:36.407293+00:00,28.81,30.48,1226.59,0,19.63,34.8,54.2,1,Ngagel (Pagi - Urban Traffic),Sedang
41,2026-06-10 01:43:37.320752+00:00,27.23,27.46,1152.78,0,19.63,34.9,54.9,1,Ngagel (Pagi - Urban Traffic),Sedang
42,2026-06-10 01:44:38.467280+00:00,29.52,36.05,1111.21,0,19.63,35.1,55.5,1,Ngagel (Pagi - Urban Traffic),Sedang
43,2026-06-10 01:45:39.825294+00:00,31.63,35.82,1184.78,0,19.63,35.0,55.2,1,Ngagel (Pagi - Urban Traffic),Sedang
44,2026-06-10 01:46:41.381909+00:00,28.81,36.05,1260.99,0,19.63,35.0,57.0,1,Ngagel (Pagi - Urban Traffic),Sedang
45,2026-06-10 01:47:42.289775+00:00,32.69,35.12,1177.74,0,19.63,34.9,54.6,1,Ngagel (Pagi - Urban Traffic),Sedang
46,2026-06-10 01:48:43.602063+00:00,27.58,31.87,1096.87,0,19.63,35.1,53.6,1,Ngagel (Pagi - Urban Traffic),Sedang
47,2026-06-10 01:49:44.437731+00:00,29.16,35.35,1166.57,0,19.63,34.9,53.5,1,Ngagel (Pagi - Urban Traffic),Sedang
48,2026-06-10 01:50:45.585780+00:00,25.99,35.35,1145.96,0,19.63,34.9,53.8,1,Ngagel (Pagi - Urban Traffic),Sedang
49,2026-06-10 01:51:46.705063+00:00,27.93,34.19,1225.12,0,19.63,35.1,53.7,1,Ngagel (Pagi - Urban Traffic),Sedang
50,2026-06-10 01:52:47.796051+00:00,29.16,36.05,1245.9,0,19.63,34.9,53.3,1,Ngagel (Pagi - Urban Traffic),Sedang
51,2026-06-10 01:53:49.092742+00:00,29.87,35.12,1253.41,0,19.63,34.9,53.8,1,Ngagel (Pagi - Urban Traffic),Sedang
52,2026-06-10 01:54:50.653124+00:00,29.16,35.35,1137.83,0,19.63,35.1,53.4,1,Ngagel (Pagi - Urban Traffic),Sedang
53,2026-06-10 01:55:51.598422+00:00,29.69,39.3,1169.35,0,19.63,34.9,55.1,1,Ngagel (Pagi - Urban Traffic),Sedang
54,2026-06-10 01:56:52.762515+00:00,27.93,31.87,1117.8,0,19.63,35.1,53.5,1,Ngagel (Pagi - Urban Traffic),Sedang
55,2026-06-10 01:57:53.720400+00:00,24.93,26.29,1222.19,0,19.63,34.9,53.2,1,Ngagel (Pagi - Urban Traffic),Sedang
56,2026-06-10 01:58:55.608997+00:00,26.17,30.94,1190.45,0,19.63,35.0,51.7,1,Ngagel (Pagi - Urban Traffic),Sedang
57,2026-06-10 01:59:55.389990+00:00,25.46,27.69,1254.92,0,19.63,34.9,51.8,1,Ngagel (Pagi - Urban Traffic),Sedang
58,2026-06-10 02:00:57.210417+00:00,20.0,26.76,1343.03,0,19.63,35.1,51.9,1,Ngagel (Pagi - Urban Traffic),Sedang
59,2026-06-10 02:01:58.455676+00:00,23.88,31.17,1220.73,0,19.63,35.0,51.1,1,Ngagel (Pagi - Urban Traffic),Sedang
60,2026-06-10 02:02:59.897549+00:00,25.82,29.31,1225.12,0,19.63,34.9,51.4,1,Ngagel (Pagi - Urban Traffic),Sedang
61,2026-06-10 02:04:01.032149+00:00,20.88,25.13,1206.2,0,19.63,35.1,51.0,1,Ngagel (Pagi - Urban Traffic),Sedang
62,2026-06-10 02:05:02.330679+00:00,20.0,23.97,1228.07,0,19.63,34.9,50.5,1,Ngagel (Pagi - Urban Traffic),Sedang
63,2026-06-10 02:06:03.661717+00:00,18.94,25.83,1222.19,0,19.63,35.0,51.6,1,Ngagel (Pagi - Urban Traffic),Sedang
64,2026-06-10 05:25:06.140920+00:00,18.41,19.79,1598.26,0,19.63,31.6,60.9,2,Rungkut (Siang - Industri Manufaktur),Sedang
65,2026-06-10 05:26:07.054898+00:00,17.71,21.42,1669.12,0,19.63,31.9,59.7,2,Rungkut (Siang - Industri Manufaktur),Sedang
66,2026-06-10 05:27:10.617226+00:00,17.88,21.42,1608.44,0,19.63,32.3,58.2,2,Rungkut (Siang - Industri Manufaktur),Sedang
67,2026-06-10 05:43:23.288431+00:00,17.18,18.86,1533.06,0,19.63,35.2,48.6,2,Rungkut (Siang - Industri Manufaktur),Sedang
68,2026-06-10 05:44:24.405683+00:00,14.89,18.16,1463.83,0,19.63,35.1,47.6,2,Rungkut (Siang - Industri Manufaktur),Baik
69,2026-06-10 05:45:25.285975+00:00,21.76,25.6,1452.97,0,19.63,35.1,49.1,2,Rungkut (Siang - Industri Manufaktur),Sedang
70,2026-06-10 05:46:26.762747+00:00,18.06,20.72,1600.29,0,19.63,35.1,48.4,2,Rungkut (Siang - Industri Manufaktur),Sedang
71,2026-06-10 05:47:28.210366+00:00,19.65,22.58,1588.16,0,19.63,35.1,49.0,2,Rungkut (Siang - Industri Manufaktur),Sedang
72,2026-06-10 05:48:30.830378+00:00,24.23,28.15,1463.83,0,19.63,35.1,50.1,2,Rungkut (Siang - Industri Manufaktur),Sedang
73,2026-06-10 05:49:33.452744+00:00,18.94,23.51,1600.29,0,19.63,35.2,49.6,2,Rungkut (Siang - Industri Manufaktur),Sedang
74,2026-06-10 05:50:29.918812+00:00,18.06,20.25,1654.21,0,19.63,35.2,49.8,2,Rungkut (Siang - Industri Manufaktur),Sedang
75,2026-06-10 05:51:31.934015+00:00,18.59,19.09,1570.18,0,19.63,35.2,48.2,2,Rungkut (Siang - Industri Manufaktur),Sedang
76,2026-06-10 05:52:33.503092+00:00,18.41,17.93,1703.85,0,19.63,35.2,48.7,2,Rungkut (Siang - Industri Manufaktur),Sedang
77,2026-06-10 05:53:36.303011+00:00,17.53,23.74,1538.85,0,19.63,35.3,48.3,2,Rungkut (Siang - Industri Manufaktur),Sedang
78,2026-06-10 05:54:44.876906+00:00,18.41,20.25,1542.72,0,19.63,35.3,48.3,2,Rungkut (Siang - Industri Manufaktur),Sedang
79,2026-06-10 05:55:35.047491+00:00,17.36,22.11,1519.66,0,19.63,35.3,48.0,2,Rungkut (Siang - Industri Manufaktur),Sedang
80,2026-06-10 05:56:38.631268+00:00,16.83,21.18,1445.79,0,19.63,35.3,48.7,2,Rungkut (Siang - Industri Manufaktur),Sedang
81,2026-06-10 05:57:39.926941+00:00,17.36,21.18,1527.3,0,19.63,35.3,49.6,2,Rungkut (Siang - Industri Manufaktur),Sedang
82,2026-06-10 05:58:42.715973+00:00,19.65,20.49,1710.46,0,19.63,35.3,49.9,2,Rungkut (Siang - Industri Manufaktur),Sedang
83,2026-06-10 05:59:43.176951+00:00,18.24,20.25,1548.55,0,19.63,35.3,51.8,2,Rungkut (Siang - Industri Manufaktur),Sedang
84,2026-06-10 06:00:41.400623+00:00,18.06,20.49,1572.17,0,19.63,35.2,50.2,2,Rungkut (Siang - Industri Manufaktur),Sedang
85,2026-06-10 06:01:42.837022+00:00,16.65,18.63,1616.64,0,19.63,35.2,49.0,2,Rungkut (Siang - Industri Manufaktur),Sedang
86,2026-06-10 06:02:45.429802+00:00,18.77,19.09,1480.31,0,19.63,35.2,49.5,2,Rungkut (Siang - Industri Manufaktur),Sedang
87,2026-06-10 06:03:48.803807+00:00,18.41,20.02,1495.15,0,19.63,35.2,50.7,2,Rungkut (Siang - Industri Manufaktur),Sedang
88,2026-06-10 06:04:47.974682+00:00,21.41,23.27,1612.53,0,19.63,35.2,50.7,2,Rungkut (Siang - Industri Manufaktur),Sedang
89,2026-06-10 06:05:49.534316+00:00,20.88,24.67,1712.67,0,19.63,35.2,50.9,2,Rungkut (Siang - Industri Manufaktur),Sedang
90,2026-06-10 06:06:48.341556+00:00,19.65,24.67,1637.38,0,19.63,35.2,50.2,2,Rungkut (Siang - Industri Manufaktur),Sedang
91,2026-06-10 06:07:48.246946+00:00,23.88,25.6,1641.57,0,19.63,35.2,50.5,2,Rungkut (Siang - Industri Manufaktur),Sedang
92,2026-06-10 06:08:49.872063+00:00,20.35,21.88,1757.69,0,19.63,35.2,50.8,2,Rungkut (Siang - Industri Manufaktur),Sedang
93,2026-06-10 06:09:56.231201+00:00,18.59,21.42,1717.11,0,19.63,35.2,50.1,2,Rungkut (Siang - Industri Manufaktur),Sedang
94,2026-06-10 06:10:50.545072+00:00,20.0,23.51,1721.56,0,19.63,35.2,50.3,2,Rungkut (Siang - Industri Manufaktur),Sedang
95,2026-06-10 06:11:51.422797+00:00,19.12,21.18,1739.5,0,19.63,35.2,50.0,2,Rungkut (Siang - Industri Manufaktur),Sedang
96,2026-06-10 06:12:55.759509+00:00,18.06,17.23,1550.51,0,19.63,35.2,47.5,2,Rungkut (Siang - Industri Manufaktur),Sedang
97,2026-06-10 06:13:53.856807+00:00,18.59,20.25,1669.12,0,19.63,35.2,48.3,2,Rungkut (Siang - Industri Manufaktur),Sedang
